type,title,company,location,salary,experience,duration,skills,link,source
Internship,Robotics Software Engineering,Ometaura AI,Delhi                                                                (Hybrid),"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonLinuxGitHubC++ ProgrammingRobot Operating System (ROS),https://internshala.com/internship/detail/robotics-software-engineering-internship-in-delhi-at-ometaura-ai1766988563,Internshala
Internship,Full Stack Development,Maxgen Technologies Private Limited,Ahmedabad,"₹ 5,000 - 12,000 /month",Fresher,N/A,JavaHTMLJavaScriptPythonMongoDBNode.jsReact,https://internshala.com/internship/detail/part-time-full-stack-development-internship-in-ahmedabad-at-maxgen-technologies-private-limited1766986911,Internshala
Internship,Python Development,Grozoom Ventures Technology Private Limited,Work from home,"₹ 15,000 - 20,000 /month",Fresher,N/A,JavaScriptPythonLinuxHTTPAutomationREST APIWeb Application Security+3 more,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-grozoom-ventures-technology-private-limited1766984279,Internshala
Internship,Front End Development,Recsify Technologies,Work from home,"₹ 10,000 - 50,000 /month",Fresher,N/A,HTMLCSSJavaScriptPythonData StructuresNode.jsReact,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-recsify-technologies1766983610,Internshala
Internship,Full Stack Developer (React + Python),Orkait,Work from home,"₹ 7,000 - 9,000 /month",Fresher,N/A,HTMLCSSJavaScriptPythonReactTailwind CSSMicroservices,https://internshala.com/internship/detail/work-from-home-full-stack-developer-react-python-internship-at-orkait1766981628,Internshala
Internship,Python Development,Unessa Foundation,Work from home,Unpaid,Fresher,N/A,HTMLCSSPython,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-unessa-foundation1766863200,Internshala
Internship,Competitive Programming And Problem Solving,Geeekd,Work from home,"₹ 15,000 - 25,000 /month",Fresher,N/A,JavaC#PythonAlgorithmsData StructuresC++ ProgrammingEnglish Proficiency (Spoken)+1 more,https://internshala.com/internship/detail/work-from-home-competitive-programming-and-problem-solving-internship-at-geeekd1766837945,Internshala
Internship,Python Development,ProAnalyser,"Chennai, Coimbatore, Madurai, Salem, Tirunelveli, Thirupur","₹ 6,300 - 7,500 /month",Fresher,N/A,HTMLCSSPython,https://internshala.com/internship/detail/python-development-internship-in-multiple-locations-at-proanalyser1766825561,Internshala
Internship,Full Stack Development,Gateway Software Solutions,"Chennai, Coimbatore, Erode, Madurai, Tirunelveli, Namakkal, Theni, Chengalpattu, Dharmapuri, Salem, Viluppuram, Tiruchirappalli","₹ 3,000 - 7,000 /month",Fresher,N/A,MySQLHTMLCSSJavaScriptPythonMongoDBAngularJS+2 more,https://internshala.com/internship/detail/full-stack-development-internship-in-multiple-locations-at-gateway-software-solutions1766819747,Internshala
Internship,AI/ML,The Affordable Organic Store,"Hyderabad, Kompally","₹ 20,000 /month",Fresher,N/A,PythonSQLCreative ThinkingGenerative AI Tools,https://internshala.com/internship/detail/ai-ml-internship-in-multiple-locations-at-the-affordable-organic-store1766819155,Internshala
