name,ratings,reviews,type_locations,salaries,interviews,jobs,benefits
Birlasoft,3.5,(3.6k),IT Services & Consulting | Pune +50 other locations,29.6k,314,426,235
Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances | Mumbai +165 other locations,15k,220,55,412
Synechron,3.5,(3.6k),IT Services & Consulting | Pune +32 other locations,27.9k,401,32,237
Glenmark Pharmaceuticals,3.8,(3.6k),Pharma | Mumbai +181 other locations,12.2k,178,129,317
Cogent E Services,3.2,(3.6k),BPO | Noida +55 other locations,10.3k,291,1,220
Dabur,3.9,(3.6k),FMCG | New Delhi +318 other locations,8.7k,324,19,275
JK Cement,4.0,(3.6k),Building Material | New Delhi +325 other locations,9.8k,326,1,257
Samvardhana Motherson Group,3.7,(3.6k),Auto Components | Noida +93 other locations,12.1k,255,14,403
Bharat Electronics,4.2,(3.6k),Electronics Manufacturing | Bangalore / Bengaluru +88 other locations,12.3k,242,--,312
Kotak Mahindara Life Insurance,3.5,(3.6k),Insurance | Mumbai +256 other locations,12.3k,258,186,256
KPIT Technologies,3.0,(3.6k),Software Product | Pune +44 other locations,22.8k,336,52,289
Abbott,4.1,(3.6k),Pharma | Mumbai +211 other locations,11.8k,176,249,361
Altruist Technologies,4.4,(3.6k),BPO | Bangalore / Bengaluru +44 other locations,8.1k,529,9,83
Aarti Industries,4.0,(3.5k),Agro Chemicals | Bharuch +58 other locations,14.2k,324,2,351
Ipca Laboratories,3.9,(3.5k),Pharma | Mumbai +160 other locations,11.4k,196,41,245
Reliance Projects & Property Management Services,4.0,(3.5k),IT Services & Consulting | Kolkata +617 other locations,7.2k,204,--,20
Indian Oil Corporation,4.3,(3.5k),Oil & Gas | New Delhi +308 other locations,7.7k,233,--,290
MRF Tyres,3.6,(3.5k),Auto Components | Chennai +192 other locations,12.5k,364,12,345
Alkem Laboratories,3.9,(3.5k),Pharma | Mumbai +196 other locations,9.7k,191,27,328
Reliance Digital,4.2,(3.5k),Retail | Mumbai +378 other locations,8.1k,161,--,241
Johnson Controls,3.5,(3.4k),Industrial Automation | Pune +57 other locations,17.3k,299,4,266
"NTT DATA, Inc.",3.9,(3.4k),IT Services & Consulting | Bangalore / Bengaluru +35 other locations,21.2k,151,85,624
IGT Solutions,3.2,(3.4k),BPO | New Delhi +47 other locations,13.4k,248,59,213
Honda Motorcycle & Scooter,4.1,(3.4k),Automobile | Gurgaon / Gurugram +296 other locations,11.1k,196,--,348
PhonePe,4.1,(3.4k),FinTech | Bangalore / Bengaluru +390 other locations,12.7k,399,27,183
Vishal Mega Mart,3.7,(3.4k),Retail | New Delhi +376 other locations,6.1k,199,2,273
UNO Minda,4.0,(3.4k),Auto Components | Pune +109 other locations,11.1k,243,15,279
Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage | Bangalore / Bengaluru +257 other locations,7.6k,169,37,377
ArcelorMittal Nippon Steel,4.1,(3.3k),Iron & Steel | Surat +86 other locations,11.6k,267,27,111
Ford Motor,4.2,(3.4k),Automobile | Chennai +130 other locations,15.1k,173,--,397
UBS,3.9,(3.3k),Financial Services | Pune +19 other locations,31.2k,368,1,117
24/7 Customer,3.4,(3.3k),Software Product | Bangalore / Bengaluru +36 other locations,11.5k,181,56,406
DTDC Express,3.7,(3.3k),Logistics | New Delhi +268 other locations,8.5k,191,20,263
Reliance Nippon Life Insurance,3.4,(3.3k),Insurance | Mumbai +482 other locations,8.4k,162,1,229
Ceat Tyres,3.9,(3.3k),Auto Components | Nagpur +141 other locations,12.9k,206,10,346
RSPL Group,4.0,(3.3k),FMCG | Kanpur +255 other locations,9.4k,244,31,293
ABB,4.1,(3.3k),Industrial Machinery | Bangalore / Bengaluru +105 other locations,17.6k,282,412,346
HARMAN,3.8,(3.3k),Consumer Electronics & Appliances | Bangalore / Bengaluru +42 other locations,24k,288,102,100
Cloudnine Hospital,4.4,(3.3k),Healthcare | Bangalore / Bengaluru +46 other locations,2.9k,971,5,78
Indian Air Force,4.5,(3.2k),Defence & Aerospace | New Delhi +136 other locations,5.3k,78,--,354
Barclays,3.7,(3.2k),Banking | Pune +36 other locations,30.7k,306,--,253
AGS Health,4.0,(3.2k),Analytics & KPO | Chennai +60 other locations,14.1k,205,21,272
NatWest Group,4.0,(3.2k),Banking | Gurgaon / Gurugram +29 other locations,20.6k,233,175,362
Blinkit,3.7,(3.2k),Internet | Gurgaon / Gurugram +142 other locations,12.2k,306,--,202
InterGlobe Aviation,3.5,(3.2k),Aviation | New Delhi +103 other locations,13.5k,366,102,315
TVS Credit Services Ltd,4.2,(3.2k),NBFC | Chennai +423 other locations,7.4k,151,28,196
Conduent,3.4,(3.2k),BPO | Bangalore / Bengaluru +35 other locations,16.8k,224,266,366
Alstom Transportation,3.7,(3.2k),Engineering & Construction | Bangalore / Bengaluru +80 other locations,14.7k,275,365,173
Marpu Foundation,4.9,(3.2k),Non-Profit | Hyderabad / Secunderabad +62 other locations,61,256,--,8
GeBBS Healthcare Solutions,3.7,(3.2k),BPO | Mumbai +26 other locations,11.2k,176,53,290
Tata Technologies,3.5,(3.2k),Engineering & Construction | Pune +55 other locations,22.4k,304,115,308
